Respondent_ID,Persona_Label,Is_Outlier,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Occupation,Q5_Monthly_Income,Q6_Shopping_Frequency,Q7_Platforms_Used,Q8_Avg_Order_Spend,Q9_Key_Purchase_Factor,Q10_Returns_Frequency,Q11_Product_Categories,Q12_Colour_Preferences,Q13_Occasions,Q14_Style_Personality,Q15_Ethnic_Wear,Q16_Bundle_Preferences,Q17_Price_Sensitivity,Q18_Social_Platform,Q19_D2C_Purchase_Hist,Q20_Sustainability_Pay,Q21_Ideal_Monthly_Budget,Q21_Budget_Numeric_INR,Q22_Digital_Trust_Score,Q23_Influencer_Purchase,Q24_Market_Gap_Perception,Q25_Purchase_Intent_Raw,Q25_Purchase_Intent_Label
R0001,ProfessionalWoman,False,25–34,Female,Metro,Salaried – Private,"₹20,000–₹40,000",Very frequently,Brand website,"₹2,500–₹5,000",,Often,Jeans/Denim|Tops/Blouses|Dresses|Co-ord sets|Jackets/Blazers|Ethnic-Western Fusion,Neutrals|Dark tones|Earth tones,Office/Work|Casual outings|Dates/Parties|Work-from-home,Minimalist,I buy both equally,Top+Bottom combo|3 basics for ₹999|Curated outfit box,4.0,WhatsApp/Friends,No,Maybe – if quality is great,"₹2,500–₹5,000",4010.0,3.0,Yes – once or twice,Poor size range,Somewhat likely,Interested
R0002,BudgetStudent,False,Under 18,Male,Metro,Salaried – Govt.,Above ₹1.5L,Very frequently,Myntra|Amazon|Meesho|Brand website|Instagram/Social,Below ₹500,Price/Discounts|Brand trust,Often,,Pastels|Dark tones,College/Campus|Casual outings|Dates/Parties|Travel,Boho/Free-spirited,No – western only,Top+Bottom combo|3 basics for ₹999|Seasonal wardrobe kit,2.0,Instagram,No,No – price matters,"₹1,000–₹2,500",1710.0,2.0,No – but tempted,Low fabric quality,Very likely,Interested
R0003,TrendyUrban,False,,Female,Metro,Salaried – Private,"Below ₹20,000",Frequently,Myntra|Flipkart|Instagram/Social,"₹1,000–₹2,500",Brand trust|Trendy designs,Rarely,Jeans/Denim|T-shirts|Tops/Blouses|Co-ord sets|Jackets/Blazers|Shorts/Skirts|Activewear,Neutrals|Bold/Bright|Dark tones,Office/Work|Casual outings|Dates/Parties|Work-from-home,Trendy/Street style,No – western only,Co-ord set+Accessories|Curated outfit box,2.0,Instagram,Yes,Definitely yes,"₹1,000–₹2,500",1940.0,3.0,Yes – many times,Low fabric quality,Somewhat likely,Interested
R0004,BudgetStudent,False,25–34,Female,Tier-2,Student,"₹20,000–₹40,000",Very frequently,Myntra|Flipkart,"₹500–₹1,000",Price/Discounts|Brand trust,Sometimes,Jeans/Denim|Co-ord sets,Pastels|Bold/Bright|Prints & Patterns,College/Campus|Casual outings|Festivals|Gym/Workout|Work-from-home,Boho/Free-spirited,No – western only,3 basics for ₹999,2.0,Instagram,Not aware,No – price matters,,1010.0,5.0,Yes – many times,Designs not India-appropriate,Somewhat likely,Interested
R0005,ProfessionalWoman,False,35–44,Female,Metro,Salaried – Private,Above ₹1.5L,Occasionally,Myntra|Ajio|Amazon,"₹2,500–₹5,000",Fabric quality|Fast delivery,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Co-ord sets|Ethnic-Western Fusion,Neutrals|Pastels,Office/Work|Casual outings|Dates/Parties|Festivals|Travel|Work-from-home,Minimalist,I buy both equally,Co-ord set+Accessories,4.0,Instagram,Yes,No – price matters,"₹2,500–₹5,000",3630.0,3.0,No – but tempted,Poor size range|Poor returns/service,Very likely,Interested
R0006,ProfessionalWoman,False,25–34,Female,Metro,Salaried – Private,"₹75,000–₹1.5L",Occasionally,Myntra|Ajio|Amazon|Instagram/Social,"₹2,500–₹5,000",Trendy designs|Fast delivery,Sometimes,Tops/Blouses|Dresses|Jackets/Blazers,Pastels|Dark tones|Earth tones,Office/Work|Casual outings,Boho/Free-spirited,Yes – regularly,Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle,3.0,YouTube,,Maybe – if quality is great,"₹2,500–₹5,000",3630.0,4.0,,Poor size range|Limited ethnic-fusion,Very likely,Interested
R0007,HousewifeTier2,False,35–44,Female,Metro,Self-employed,"₹40,000–₹75,000",Never,Myntra|Amazon,"₹500–₹1,000",Price/Discounts|Fabric quality,Rarely,Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,Festivals,Trendy/Street style,Yes – regularly,3 basics for ₹999|Curated outfit box|Ethnic+western bundle,2.0,None,Not aware,Haven't thought,"₹500–₹1,000",1020.0,4.0,No – but tempted,Poor size range|Poor returns/service,Very likely,Interested
R0008,BudgetStudent,False,,Female,Tier-1,Student,"₹20,000–₹40,000",Frequently,Myntra|Flipkart,Below ₹500,Price/Discounts|Fabric quality,Often,Jeans/Denim|T-shirts|Co-ord sets|Shorts/Skirts,Pastels|Bold/Bright,College/Campus|Office/Work|Dates/Parties|Travel|Gym/Workout,,Yes – occasionally,3 basics for ₹999,1.0,Instagram,No,No – price matters,,4160.0,2.0,No – but tempted,Designs not India-appropriate|High prices,Somewhat likely,Interested
R0009,TrendyUrban,False,25–34,Female,Tier-3 / Rural,Salaried – Govt.,"₹20,000–₹40,000",Very frequently,,"₹2,500–₹5,000",Price/Discounts|Easy returns,Rarely,Dresses|Co-ord sets|Jackets/Blazers|Shorts/Skirts,Neutrals|Pastels|Bold/Bright,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals,Minimalist,I buy both equally,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999|Curated outfit box,2.0,None,Yes,Maybe – if quality is great,,1610.0,5.0,Yes – many times,Designs not India-appropriate|Limited ethnic-fusion,Very likely,Interested
R0010,BudgetStudent,False,Under 18,Male,Metro,Student,"Below ₹20,000",Occasionally,Myntra|Amazon|Flipkart,"₹1,000–₹2,500",Easy returns,Rarely,Jeans/Denim|T-shirts|Dresses,Pastels|Bold/Bright|Dark tones,College/Campus,Ethnic-Western Fusion,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|3 basics for ₹999,1.0,YouTube,Yes,Haven't thought,"₹1,000–₹2,500",1910.0,4.0,No – never,Low fabric quality|Designs not India-appropriate,Somewhat likely,Interested
R0011,BudgetStudent,False,25–34,Male,Tier-1,Student,"₹40,000–₹75,000",Occasionally,Amazon|Flipkart,"₹500–₹1,000",Price/Discounts|Fast delivery,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses,Neutrals|Pastels|Bold/Bright,College/Campus|Office/Work|Casual outings|Dates/Parties|Festivals,Trendy/Street style,No – western only,Curated outfit box,1.0,,Yes,Maybe – if quality is great,"₹500–₹1,000",670.0,4.0,Yes – many times,Poor size range,Neutral,Neutral
R0012,TrendyUrban,False,18–24,Male,Tier-1,Freelancer,"₹20,000–₹40,000",Frequently,Myntra|Ajio|Amazon|Flipkart|Meesho|Instagram/Social,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Ethnic-Western Fusion,Neutrals|Pastels|Dark tones,Casual outings|Festivals|Gym/Workout|Work-from-home,Boho/Free-spirited,Yes – regularly,Top+Bottom combo|3 basics for ₹999|Ethnic+western bundle,3.0,YouTube,No,Definitely yes,"₹2,500–₹5,000",3500.0,4.0,No – but tempted,Designs not India-appropriate,Very likely,Interested
R0013,BudgetStudent,False,18–24,Female,Tier-2,Salaried – Govt.,"₹20,000–₹40,000",Very frequently,Myntra|Meesho,"₹500–₹1,000",Fast delivery,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Shorts/Skirts|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,College/Campus|Festivals,Trendy/Street style,Yes – occasionally,,1.0,Pinterest,Not aware,Maybe – if quality is great,"₹500–₹1,000",790.0,2.0,Yes – many times,High prices,Very likely,Interested
R0014,BudgetStudent,False,18–24,Male,Tier-3 / Rural,Student,"Below ₹20,000",Occasionally,Myntra|Ajio|Meesho|Instagram/Social|None,"₹500–₹1,000",Price/Discounts,Often,Jeans/Denim|T-shirts|Shorts/Skirts|Ethnic-Western Fusion,Bold/Bright|Dark tones,College/Campus|Travel|Gym/Workout,Trendy/Street style,I buy both equally,Top+Bottom combo|3 basics for ₹999|Curated outfit box|Ethnic+western bundle,2.0,YouTube,No,Maybe – if quality is great,,0.0,4.0,Yes – once or twice,Designs not India-appropriate|High prices,Unlikely,Not Interested
R0015,ProfessionalWoman,False,25–34,Female,Tier-1,Salaried – Private,Above ₹1.5L,,Myntra|Amazon|Flipkart|Meesho,"₹2,500–₹5,000",Fabric quality|Easy returns,Rarely,Tops/Blouses|Dresses|Jackets/Blazers|Shorts/Skirts|Ethnic-Western Fusion,Prints & Patterns,Office/Work|Dates/Parties|Travel|Work-from-home,Trendy/Street style,Yes – regularly,Seasonal wardrobe kit,4.0,Instagram,Not aware,Definitely yes,"₹5,000–₹10,000",5810.0,2.0,Yes – many times,Poor size range|Low fabric quality,Somewhat likely,Interested
R0016,TrendyUrban,False,18–24,Male,Metro,Self-employed,"₹40,000–₹75,000",Occasionally,Myntra|Ajio|Meesho|Instagram/Social,"Above ₹5,000",Price/Discounts|Brand trust,Never,Jeans/Denim|T-shirts|Dresses|Co-ord sets|Ethnic-Western Fusion,Neutrals|Pastels|Bold/Bright,College/Campus|Casual outings|Dates/Parties|Festivals|Travel|Gym/Workout,Trendy/Street style,No – western only,Co-ord set+Accessories,4.0,Instagram,No,Maybe – if quality is great,"₹1,000–₹2,500",,4.0,Yes – many times,Limited ethnic-fusion|Poor returns/service,Neutral,Neutral
R0017,BudgetStudent,False,18–24,Male,Tier-3 / Rural,Student,"Below ₹20,000",Rarely,Myntra|Flipkart|Instagram/Social,Below ₹500,Price/Discounts|Trendy designs,Never,Jeans/Denim|T-shirts|Co-ord sets|Shorts/Skirts,Dark tones|Prints & Patterns,College/Campus|Dates/Parties|Gym/Workout,Trendy/Street style,Yes – regularly,3 basics for ₹999|Seasonal wardrobe kit,2.0,YouTube,Yes,No – price matters,"₹1,000–₹2,500",1460.0,4.0,Yes – once or twice,High prices,Definitely not,Not Interested
R0018,ProfessionalWoman,False,35–44,Female,Metro,Self-employed,"₹75,000–₹1.5L",Frequently,Myntra|Ajio|Flipkart|Brand website|Instagram/Social,"₹2,500–₹5,000",Brand trust|Trendy designs,Often,Co-ord sets,Prints & Patterns,College/Campus|Office/Work|Casual outings,Classic/Formal,No – western only,Ethnic+western bundle|Seasonal wardrobe kit,4.0,Instagram,Yes,Maybe – if quality is great,"₹2,500–₹5,000",3920.0,3.0,No – but tempted,Poor size range|Designs not India-appropriate,Very likely,
R0019,HousewifeTier2,False,45–54,Female,Tier-3 / Rural,Homemaker,"₹40,000–₹75,000",Very frequently,Meesho,"₹1,000–₹2,500",Price/Discounts|Fabric quality,Rarely,T-shirts|Co-ord sets|Jackets/Blazers,Pastels,Dates/Parties|Festivals|Travel|Gym/Workout|Work-from-home,Ethnic-Western Fusion,Yes – occasionally,Co-ord set+Accessories|3 basics for ₹999,1.0,WhatsApp/Friends,No,No – price matters,,1490.0,3.0,No – but tempted,Low fabric quality|Limited ethnic-fusion,Very likely,Interested
R0020,BudgetStudent,False,18–24,Female,Tier-1,Student,"Below ₹20,000",Rarely,Ajio|Amazon,"₹500–₹1,000",Price/Discounts|Fabric quality,Rarely,Jeans/Denim|T-shirts|Tops/Blouses,Bold/Bright|Dark tones|Prints & Patterns,College/Campus|Dates/Parties|Travel,Trendy/Street style,Yes – occasionally,Top+Bottom combo|3 basics for ₹999,1.0,Instagram,Yes,Haven't thought,₹0,0.0,1.0,Yes – many times,Low fabric quality|High prices,Somewhat likely,Interested
R0021,HousewifeTier2,False,35–44,Female,Tier-2,Salaried – Private,"₹20,000–₹40,000",Frequently,Amazon|Flipkart,"₹1,000–₹2,500",Brand trust|Trendy designs,Sometimes,Tops/Blouses|Ethnic-Western Fusion,Bold/Bright|Dark tones|Prints & Patterns,Casual outings|Festivals|Travel,Classic/Formal,Yes – regularly,Top+Bottom combo|Co-ord set+Accessories|Curated outfit box|Ethnic+western bundle,1.0,WhatsApp/Friends,Yes,No – price matters,₹0,120.0,2.0,Yes – once or twice,Limited ethnic-fusion,Somewhat likely,Interested
R0022,ProfessionalWoman,False,35–44,Female,Metro,Salaried – Private,"₹20,000–₹40,000",,Instagram/Social,"₹1,000–₹2,500",Fabric quality,Sometimes,Jeans/Denim|T-shirts|Tops/Blouses|Dresses|Jackets/Blazers|Ethnic-Western Fusion,Dark tones|Prints & Patterns,Office/Work|Casual outings|Dates/Parties|Travel|Work-from-home,Boho/Free-spirited,Yes – regularly,Seasonal wardrobe kit,4.0,Instagram,Yes,Maybe – if quality is great,"₹5,000–₹10,000",7280.0,4.0,No – never,High prices|Poor returns/service,Somewhat likely,Interested
